split,task,image,mask,foreground_pixels
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_000.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_000.npy,131
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_001.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_001.npy,139
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_002.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_002.npy,168
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_003.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_003.npy,128
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_004.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_004.npy,160
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_005.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_005.npy,173
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_006.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_006.npy,113
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_007.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_007.npy,85
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_008.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_008.npy,149
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_009.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_009.npy,133
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_010.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_010.npy,158
train,Handheld_ConcreteCrack,train\Handheld_ConcreteCrack\npy_imgs\DemoSource_011.npy,train\Handheld_ConcreteCrack\npy_gts\DemoSource_011.npy,189
val,Handheld_ConcreteCrack,val\Handheld_ConcreteCrack\npy_imgs\DemoSource_000.npy,val\Handheld_ConcreteCrack\npy_gts\DemoSource_000.npy,97
val,Handheld_ConcreteCrack,val\Handheld_ConcreteCrack\npy_imgs\DemoSource_001.npy,val\Handheld_ConcreteCrack\npy_gts\DemoSource_001.npy,131
val,Handheld_ConcreteCrack,val\Handheld_ConcreteCrack\npy_imgs\DemoSource_002.npy,val\Handheld_ConcreteCrack\npy_gts\DemoSource_002.npy,135
val,Handheld_ConcreteCrack,val\Handheld_ConcreteCrack\npy_imgs\DemoSource_003.npy,val\Handheld_ConcreteCrack\npy_gts\DemoSource_003.npy,139
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_000.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_000.npy,109
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_001.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_001.npy,146
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_002.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_002.npy,129
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_003.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_003.npy,114
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_004.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_004.npy,147
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_005.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_005.npy,169
